Datum export;20230126 02:29;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220502 17:00;20220502 18:00;8.2;8.1;7.7;7.4;6.2;6.5;6.7;6.7;5.5;7.9;12.2;12.248;13.678;13.404;8.808;7.843;10.346;2.308;7.378;7.684;7.908;7.252;-1.011;3.161;-0.052;4.869;-4.178;3.073;11.865;12.904;15.197;2.269;0.614;-1.534
PM2.5;uur;µg/m³;20220502 18:00;20220502 19:00;5.9;6.7;6.8;5.9;5.3;5.8;5.4;7;6.3;6.3;9.7;14.492;14.678;12.483;7.256;4.966;8.173;1.519;5.47;4.158;7.014;6.319;-0.932;3.475;4.866;3.034;-3.143;2.787;15.433;13.767;12.522;0.213;-3.207;2.519
PM2.5;uur;µg/m³;20220502 19:00;20220502 20:00;6;6.7;6.7;5.5;5.7;6.1;6;7.1;6.6;5.8;10.6;10.738;9.621;11.473;3.712;4.277;5.223;3.839;5.339;1.571;5.602;9.543;4.769;1.826;3.603;5.521;-4.815;5.965;9.121;7.346;6.616;1.411;-4.651;3.831
PM2.5;uur;µg/m³;20220502 20:00;20220502 21:00;5.7;6.4;6;4.9;5.8;6.2;5.8;8;7.4;5.2;9.5;8.974;14.57;11.405;5.201;5.759;6.275;4.724;6.641;1.519;4.409;7.816;10.983;-1.738;1.791;4.349;;7.42;5.733;4.765;10.395;4.751;0.601;7.298
PM2.5;uur;µg/m³;20220502 21:00;20220502 22:00;7.9;7.7;7.5;5.6;9.6;8.5;8.1;10.1;8;6.1;10.3;7.206;17.01;14.492;4.329;3.977;8.798;3.178;8.441;0.399;4.934;7.228;8.71;2.519;4.128;1.267;-1.467;6.922;4.871;3.687;5.725;4.423;3.124;5.455
PM2.5;uur;µg/m³;20220502 22:00;20220502 23:00;9;9.4;9.4;8.5;12;10.3;10.5;9.8;7.7;8.5;12.4;12.444;13.022;15.727;10.797;7.443;6.618;2.274;7.951;;10.983;5.885;6.83;8.459;7.204;-0.241;3.762;4.768;5.186;2.278;2.129;13.884;4.521;6.304
PM2.5;uur;µg/m³;20220502 23:00;20220503 00:00;10.7;12.7;13;13.6;14.2;12.7;12.3;8.7;7.6;14.6;15.8;9.768;12.081;7.461;6.765;7.833;3.769;4.281;13.11;-3.5;9.298;12.512;8.255;9.847;6.345;5.512;3.761;6.783;5.728;4.022;-1.835;5.652;6.532;6.897
PM2.5;uur;µg/m³;20220503 00:00;20220503 01:00;13.8;15.9;16.4;16.1;21.8;15.2;14.6;11;7.4;19.7;18.8;10.19;9.964;8.994;6.076;7.544;6.114;4.114;14.286;1.368;10.65;16.119;5.322;8.955;9.004;6.648;10.582;4.979;5.803;6.433;-4.4;10.601;6.056;6.57
PM2.5;uur;µg/m³;20220503 01:00;20220503 02:00;15.5;17.3;17.9;18.2;18.7;17.6;16.8;15;8.1;20.3;19.4;10.111;11.179;7.083;16.011;7.623;6;3.829;14.629;15.531;17.843;7.157;17.912;7.603;6.597;5.945;7.814;5.198;4.94;11.395;-0.475;9.357;10.866;5.957
PM2.5;uur;µg/m³;20220503 02:00;20220503 03:00;17.8;17.4;18;19.6;19.3;18.9;19.1;15.8;9.3;21.5;23.1;10.239;10.631;7.594;5.546;7.207;5.029;2.949;20.391;10.827;19.117;17.579;16.06;11.13;4.009;5.483;9.945;8.615;11.718;11.042;;14.845;9.778;8.53
PM2.5;uur;µg/m³;20220503 03:00;20220503 04:00;17.5;21.5;19.7;22.4;19.5;19.4;18.7;17.3;10;24.7;21.8;14.325;13.923;8.506;2.787;6.906;5.629;4.7;22.988;10.013;17.912;18.559;17.295;9.347;5.443;2.895;10.885;7.565;5.52;8.974;4.904;14.423;10.709;9.464
PM2.5;uur;µg/m³;20220503 04:00;20220503 05:00;16.3;22.7;21.6;25.2;19.1;20.8;19.3;18.6;11;26.4;23.2;13.943;13.747;10.876;7.053;15.325;8.459;9.298;16.295;6.893;17.138;20.166;21.822;7.975;7.674;4.807;9.798;12.894;5.545;5.099;6.1;14.247;10.983;11.258
PM2.5;uur;µg/m³;20220503 05:00;20220503 06:00;13.6;19.3;18.3;25.4;19.9;19.9;19.6;17.7;14;27.7;25.3;12.757;5.739;10.699;14.766;16.06;8.867;17.981;12.62;17.451;17.951;25.791;22.939;12.689;8.684;11.669;10.905;9.435;8.125;3.854;7.133;19.068;13.796;14.041
PM2.5;uur;µg/m³;20220503 06:00;20220503 07:00;15.6;17.3;15.6;20;21.2;20.1;21.5;19.5;16.5;18.7;24.4;11.14;18.471;5.586;2.893;18.755;8.227;15.207;15.276;13.816;16.275;27.467;23.959;13.708;17.794;17.442;23.018;14.061;15.246;8.203;5.254;6.064;12.855;17.99
PM2.5;uur;µg/m³;20220503 07:00;20220503 08:00;21.7;20;19.4;18.5;23.2;23;24.2;21.2;17.2;18;18.1;19.196;8.432;11.709;12.826;19.176;9.396;13.816;14.854;25.585;20.734;33.778;24.801;19.117;26.497;23.567;33.739;10.572;7.173;4.098;5.528;8.935;10.023;1.711
PM2.5;uur;µg/m³;20220503 08:00;20220503 09:00;22.8;24.6;23.9;21.9;22.4;22.5;25.8;18.7;18.6;22.9;21.8;7.68;7.057;8.916;10.503;12.992;6.696;16.471;17.559;40.031;18.774;24.654;5.021;20.705;42.128;25.36;36.797;18.255;7.808;7.619;4.948;4.424;6.115;3.602
PM2.5;uur;µg/m³;20220503 09:00;20220503 10:00;18.6;19.4;19.5;20.4;19.5;17.9;21.5;21.4;26.9;20.7;21;5.86;9.112;7.859;9.121;14.815;4.289;30.652;14.668;46.753;13.884;22.391;5.32;21.107;27.751;28.153;26.36;12.728;8.677;6.013;;6.054;4.761;3.983
PM2.5;uur;µg/m³;20220503 10:00;20220503 11:00;21.9;19;18.9;17.8;21.2;19.4;23.9;29.6;30.3;17.5;21.1;6.73;7.675;4.376;5.643;8.379;7.181;34.494;18.363;37.385;17.001;28.035;6.03;25.693;27.3;19.823;30.809;16.315;6.777;4.369;-3.376;6.221;5.914;4.14
PM2.5;uur;µg/m³;20220503 11:00;20220503 12:00;23.3;20.9;20.1;16.3;22;21.5;24.7;28.7;23.3;16.5;21.8;9.758;6.615;2.677;5.447;8.204;8.541;12.747;17.04;17.471;16.893;25.037;10.082;25.977;21.097;19.931;28.496;8.657;8.688;3.881;10.003;3.854;6.712;5.983
PM2.5;uur;µg/m³;20220503 12:00;20220503 13:00;20.6;20;18.8;19;22.8;19.3;22.5;15.7;10.8;18.3;18.8;5.449;8.143;3.703;8.896;9.317;8.71;8.224;13.963;9.141;17.206;20.225;6.265;22.077;4.693;14.198;30.319;;7.969;8.837;8.61;2.111;6.974;5.885
PM2.5;uur;µg/m³;20220503 13:00;20220503 14:00;13.4;16.8;16.5;18.1;14.7;14.7;14.1;11.4;10.2;17.8;19.4;3.707;4.891;4.481;7.053;9.435;6.711;6.138;15.099;7.187;10.395;13.169;7.438;14.962;5.565;7.121;8.691;;6.961;9.386;13.306;2.509;12.728;4.203
PM2.5;uur;µg/m³;20220503 14:00;20220503 15:00;14.1;19.3;19.7;21.3;16.3;17;16.7;12.3;9.2;22.6;17.3;7.111;4.006;2.687;10.415;14.992;4.287;7.957;18.667;9.504;10.023;16.305;4.612;10.797;5.968;12.375;9.827;;7.276;8.698;12.875;3.462;10.552;8.536
PM2.5;uur;µg/m³;20220503 15:00;20220503 16:00;13.3;17.1;17.1;15.5;11.6;13.5;12.5;11.3;9;15.9;14.4;7.477;5.064;-0.296;25.605;17.295;7.144;6.275;16.158;9.014;8.103;12.248;3.909;8.63;14.09;8.52;8.965;11.807;21.793;23.625;9.935;1.731;5.913;6.545
PM2.5;uur;µg/m³;20220503 16:00;20220503 17:00;12.3;14.5;14.8;12.9;13;13.8;14;11.5;8.7;13.6;8.9;15.874;3.945;-1.084;17.618;11.091;20.685;4.668;10.268;7.372;12.257;13.531;3.564;7.531;4.03;10.964;15.129;8.597;15.746;19.255;11.816;5.721;3.806;2.386
