Datum export;20230125 15:06;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220102 04:00;20220102 05:00;7.4;7.8;7.6;7.2;7.3;7.6;7.7;7.6;7.7;7.5;7.5;7.589;10.631;11.111;8.592;7.206;9.445;12.551;8.086;9.935;3.825;8.625;18.608;8.876;14.11;10.425;13.972;8.194;7.275;7.883;6.561;5.199;9.033;7.7;7.501
PM2.5;uur;µg/m³;20220102 05:00;20220102 06:00;7;7.2;7;6.6;7;7.1;7.3;7.2;7.7;6.8;7.7;10.229;7.019;7.502;7.572;9.68;5.713;14.707;4.982;6.403;4.751;11.562;10.121;10.474;11.865;9.278;12.777;4.696;7.412;3.767;9.357;5.024;7.794;8.142;7.492
PM2.5;uur;µg/m³;20220102 06:00;20220102 07:00;6.8;6.9;6.6;6.7;6.5;6.4;6.8;6.9;7;6.8;7.4;10.219;3.579;3.783;5.673;5.893;3.574;12.659;3.083;4.667;13.198;7.87;13.6;17.579;15.736;5.545;13.1;8.214;6.967;5.554;9.749;4.381;5.36;8.617;7.374
PM2.5;uur;µg/m³;20220102 07:00;20220102 08:00;6.6;7.6;7.5;7;6.5;6.6;6.8;7.5;8.7;7.4;6.6;9.435;11.846;7.131;4.598;9.788;4.622;15.041;4.601;6.906;13.12;5.704;10.591;7.014;11.846;9.905;15.315;5.244;2.942;7.598;10.376;3.034;3.805;6.2;4.27
PM2.5;uur;µg/m³;20220102 08:00;20220102 09:00;6.4;7;6.7;6.2;6.4;6.5;7;7.1;8.4;6.4;7.1;7.243;5.626;5.173;5.729;5.938;1.443;17.118;4.648;5.546;10.885;5.631;7.256;5.349;10.974;9.464;7.376;1.689;5.742;9.023;7.697;3.999;2.9;2.845;5.727
PM2.5;uur;µg/m³;20220102 09:00;20220102 10:00;7.5;7.4;7.2;6.6;7.7;7.3;8.2;8.4;9.4;6.7;8.7;8.896;4.06;7.315;2.98;11.189;-1.05;13.835;4.026;7.728;10.729;7.381;6.939;6.257;7.807;10.503;9.317;3.953;6.142;5.365;8.23;6.31;3.79;3.888;7.641
PM2.5;uur;µg/m³;20220102 10:00;20220102 11:00;9.1;9.2;9;8.7;9;9.3;9.6;9.7;10.5;9;9.3;9.278;9.935;6.407;3.242;11.307;7.264;13.335;7.222;9.2;8.135;10.337;5.202;9.455;7.811;9.219;9.945;8.612;9.131;4.576;5.397;7.803;4.993;3.209;7.262
PM2.5;uur;µg/m³;20220102 11:00;20220102 12:00;8.4;9.7;9.1;9;8.8;9.3;9.6;8.6;11.2;9.3;8.8;6.59;8.201;3.505;6.988;11.718;9.072;18.147;5.453;8.287;10.582;9.239;3.008;11.375;11.258;9.357;8.375;8.043;7.536;8.965;10.729;6.35;6.588;4.967;4.08
PM2.5;uur;µg/m³;20220102 12:00;20220102 13:00;8.3;9.1;8.6;7.8;9;9.1;10;9.9;12;8.1;5.9;5.054;8.525;2.917;9.357;12.385;3.896;10.239;7.678;8.435;12.992;12.924;5.503;10.866;14.08;8.827;8.374;8.279;9.464;6.149;5.874;4.83;11.797;3.986;9.768
PM2.5;uur;µg/m³;20220102 13:00;20220102 14:00;9;9.3;9.2;7.8;9.7;10.6;10.9;10.8;13;7.9;4.2;8.506;4.262;6.233;6.707;10.395;6.542;11.013;8.306;5.63;14.012;10.199;7.882;6.386;4.829;10.082;4.65;4.031;6.573;3.265;10.258;7.414;6.629;5.96;6.694
PM2.5;uur;µg/m³;20220102 14:00;20220102 15:00;6.7;8.1;7.6;6.3;7.2;7.1;7.5;6.6;9;6.4;7.2;4.929;6.424;3.655;3.611;7.636;6.001;14.649;4.988;7.273;14.306;9.082;7.359;1.56;6.295;9.112;7.652;2.195;4.029;7.356;13.463;6.656;2.037;3.416;4.007
PM2.5;uur;µg/m³;20220102 15:00;20220102 16:00;6.9;7.3;6.9;6.1;6.4;6.5;7.4;7.2;8;6.3;5.4;6.387;6.087;3.558;2.919;7.081;5.346;9.219;1.875;8.251;4.42;8.945;4.072;2.896;6.221;10.092;8.127;2.423;8.461;7.157;6.799;7.461;2.299;0.224;2.763
PM2.5;uur;µg/m³;20220102 16:00;20220102 17:00;6.9;8.2;7.4;6.3;7.5;7.6;8.2;7.7;9.5;6.6;4.3;8.268;5.39;3.331;9.415;8.181;2.907;8.252;2.159;8.19;9.219;7.221;7.838;5.044;8.002;4.794;5.365;2.096;5.557;3.731;5.945;6.799;2.335;1.563;3.003
